count_year,Airway Heights Corrections Center,Cedar Creek Corrections Center,Clallam Bay Corrections Center,Coyote Ridge Corrections Center,Larch Corrections Center,Mission Creek Corrections Center for Women,Monroe Correctional Complex,Olympic Corrections Center,Stafford Creek Corrections Center,Washington Correction Center,Washington Correction Center for Women,Washington State Penitentiary,Prison Facility Totals,Statewide Emergency Beds,"Prison Facility Totals + Statewide Emergency Beds
(Prison Total Confinement)",Work Release,Total and Partial Confinement Totals
adp_jan_2015,"2,172",473,890,"2,507",473,314,"2,424",390,"1,941","1,588",860,"2,593","16,625",0,"16,625",682,"17,329"
capacity_jan_2015,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",450,"16,744",679,"17,498"
adp_feb_2015,"2,185",475,893,"2,539",478,313,"2,416",390,"1,949","1,565",870,"2,579","16,652",0,"16,652",696,"17,364"
capacity_feb_2015,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",450,"16,744",679,"17,498"
adp_mar_2015,"2,187",475,892,"2,521",475,312,"2,443",391,"1,942","1,583",874,"2,588","16,683",0,"16,683",712,"17,409"
capacity_mar_2015,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",450,"16,744",679,"17,498"
adp_apr_2015,"2,186",475,894,"2,512",474,314,"2,438",391,"1,941","1,633",883,"2,559","16,700",0,"16,700",700,"17,412"
capacity_apr_2015,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",450,"16,744",679,"17,498"
adp_may_2015,"2,185",474,883,"2,523",476,312,"2,424",391,"1,939","1,660",906,"2,550","16,723",0,"16,723",696,"17,430"
capacity_may_2015,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",450,"16,744",679,"17,498"
adp_jun_2015,"2,150",475,874,"2,528",476,313,"2,411",396,"1,940","1,665",887,"2,560","16,675",0,"16,675",699,"17,387"
